hour,day,T_station_supply_C,T_station_return_C,Q_station_cooling_kw,user1_flow_kg_s,user1_T_sup_C,user1_T_ret_C,user1_delta_T_C,user1_Q_sup_kw,user1_demand_kw,user1_Q_unmet_kw,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
50,2.0833333333333335,7.1267222643579204,11.57703861012269,4372.488005841652,93.05974194121926,7.229629283522394,15.853741218949777,8.624111935427383,3359.506244132294,3279.67,0.0,22.81286290192594,7.200314415758707,7.224777044520919,0.024462628762211835,2.3360500275803826,0.0,0.0,50.26446053576797,7.179200092828222,9.72042149613339,2.541221403305168,534.6908526229952,524.68,0.0,65.61423142501943,7.1945229371785295,8.490300854748938,1.2957779175704083,355.89988245713243,351.17,0.0,4252.433029240002,4155.5199999999995,0.0
51,2.125,7.115507623601897,11.57140733518341,4377.874494774103,93.06028099625283,7.144237246407314,15.830276960881424,8.68603971447411,3383.6496914569734,3450.87,67.22030854302648,22.812902208656272,7.119142558912186,7.14336449200994,0.024221933097754444,2.313068866192593,0.0,0.0,50.26450908569826,7.113769015547224,9.692028997335054,2.57825998178783,542.4845539635215,537.94,0.0,65.61421326027802,7.117819113472369,8.427507177351444,1.3096880638790749,359.72035996978013,349.13,0.0,4288.167674256468,4337.94,49.77232574353184
52,2.1666666666666665,7.149713750993382,11.518334251172297,4293.091660458772,93.05721935972191,7.130135529078482,15.647832625998316,8.517697096919834,3317.9626052878607,3285.25,0.0,22.813682483418184,7.135476787306809,7.159390931140265,0.023914143833455803,2.2837546983929555,0.0,0.0,50.26646617131233,7.141737950266473,9.664999835192368,2.523261884925896,530.9332279414353,540.36,9.426772058564666,65.61644459936605,7.137597247619623,8.235507100551752,1.097909852932129,301.5633791935202,358.94,57.37662080647982,4152.7429671212085,4184.55,31.807032878791688
53,2.2083333333333335,7.035263591872125,11.489278403868475,4376.206055763699,93.04956252316227,7.132988415728872,15.765879473549314,8.63289105782044,3362.558277901944,3352.12,0.0,22.812202642210856,7.116740686473255,7.1411784363865785,0.02443774991332326,2.3336066885540903,0.0,0.0,50.263861793616506,7.094470365799373,10.523168567261985,3.4286982014626117,721.4136180519957,514.63,0.0,65.61197303635501,7.1097676461403845,8.106079687568531,0.9963120414281468,273.6388149683417,231.9,0.0,4359.944317610836,4098.65,0.0
54,2.25,7.044597440896699,11.699194086940924,4570.654820861534,93.04752480701838,7.057417934168275,15.683020611057243,8.625602676888967,3359.6458383171566,3366.86,7.214161682843496,22.81252714515814,7.034004080793244,7.058173390132063,0.02416930933881911,2.3080056242052462,0.0,0.0,50.265301681232486,7.032006760707909,11.039021968608823,4.007015207900914,843.118285123259,923.82,80.701714876741,65.61374387817538,7.033264154205005,8.267866551017368,1.2346023968123632,339.0948225180954,303.52,0.0,4544.166951582716,4594.200000000001,50.03304841728459
55,2.2916666666666665,6.934818925221977,11.711976659651754,4689.845305543867,93.04167764131923,7.039581551344011,16.208337820767163,9.168756269423152,3570.978083291592,3338.27,0.0,22.810782867811657,7.029048602121153,7.053439534844683,0.02439093272352988,2.328991067475139,0.0,0.0,50.261119655832815,7.008259444620063,10.719346397969218,3.711086953349155,780.7868913492074,755.58,0.0,65.60883368811764,7.023731383005474,8.430425781254465,1.406694398248991,386.33254896029786,363.34,0.0,4740.426514668572,4457.19,0.0
56,2.3333333333333335,6.744500040179974,11.94889796475497,5104.782127341593,93.04796990421195,6.9302600518615005,17.35310934670979,10.42284929484829,4059.687313968313,3865.59,0.0,22.80721385827237,6.871266550393627,6.896180823521681,0.024914273128054276,2.378590500315789,0.0,0.0,50.25224980213928,6.830344277245939,10.766099856789873,3.935755579543934,827.9094766666943,800.07,0.0,65.59743631193277,6.859507469727498,8.55365324382897,1.6941457741014725,465.1969593096793,398.19,0.0,5355.172340445002,5063.849999999999,0.0
57,2.375,6.691962592947249,12.418219878214234,5611.19468876527,93.06146445931317,6.776467845368427,18.003788433274238,11.227320587905812,4373.662130089683,4301.14,0.0,22.805969525650248,6.735038614993288,6.759494256721945,0.02445564172865744,2.334677119294809,0.0,0.0,50.24833537162615,6.720085816647658,10.910206404451166,4.190120587803508,881.348002899116,850.11,0.0,65.59342981690425,6.732254160548404,9.18412288322767,2.451868722679265,673.2196410158266,521.93,0.0,5930.564451123921,5673.18,0.0
58,2.4166666666666665,6.753822459565495,12.921871692058009,6039.695169595053,93.07329220323484,6.716348742084907,18.113990059713213,11.397641317628306,4440.575779278818,4458.59,18.014220721182028,22.806598149412693,6.71253801998807,6.736461958118553,0.023923938130482547,2.283980569988667,0.0,0.0,50.24904383439655,6.722871521930669,11.004352220791242,4.281480698860573,900.57734315692,907.25,6.672656843079949,65.59611610175254,6.716150839016753,10.218511256494255,3.502360417477502,961.6968330471036,816.56,0.0,6305.13393605283,6182.4,0.0
59,2.4583333333333335,6.8656923444080356,13.242169825390642,6241.787492542297,93.08403184404482,6.7624155976396825,18.134350121482218,11.371934523842535,4431.0715272373145,4411.43,0.0,22.807772921531836,6.788102603249349,6.811712926668264,0.023610323418914447,2.2541563750666134,0.0,0.0,50.25111686187857,6.810670070889295,10.769751569259988,3.9590814983706926,832.7974458308088,888.3,55.50255416919117,65.59983120596063,6.793864984809034,10.86606088587069,4.072195901061656,1118.2286326459857,1100.61,0.0,6384.351762089176,6400.34,15.988237910823955
