时间,总冷量
2025-08-22 12:00:00,7598.08
2025-07-26 15:00:00,7595.820000000001
2025-08-27 16:00:00,7595.52
2025-08-22 23:00:00,7594.34
2025-07-21 15:00:00,7594.21
2025-08-27 09:00:00,7591.71
2025-07-01 13:00:00,7588.860000000001
2025-08-02 19:00:00,7581.1
2025-07-26 11:00:00,7579.54
2025-07-22 14:00:00,7576.28
2025-08-22 13:00:00,7574.67
2025-08-20 22:00:00,7573.16
2025-07-10 12:00:00,7569.3
2025-07-23 17:00:00,7567.46
2025-07-07 16:00:00,7562.95
2025-08-12 15:00:00,7561.75
2025-08-03 10:00:00,7560.26
2025-07-29 16:00:00,7560.15
2025-07-10 14:00:00,7558.63
2025-08-27 15:00:00,7558.2
2025-08-27 14:00:00,7555.18
2025-08-27 13:00:00,7555.120000000001
2025-07-11 15:00:00,7554.66
2025-07-18 22:00:00,7553.96
2025-08-15 11:00:00,7552.65
2025-08-20 18:00:00,7547.87
2025-07-11 11:00:00,7544.74
2025-08-08 14:00:00,7544.11
2025-08-14 10:00:00,7543.53
2025-08-13 13:00:00,7543.12
2025-07-05 13:00:00,7538.58
2025-07-22 09:00:00,7537.0599999999995
2025-07-11 13:00:00,7532.92
2025-07-16 22:00:00,7532.08
2025-07-02 22:00:00,7532.04
2025-07-26 17:00:00,7530.59
2025-08-07 14:00:00,7530.4800000000005
2025-07-01 15:00:00,7530.37
2025-07-25 16:00:00,7529.49
2025-07-26 16:00:00,7527.639999999999
2025-08-22 22:00:00,7523.9400000000005
2025-08-14 18:00:00,7522.57
2025-08-18 20:00:00,7522.41
2025-07-25 17:00:00,7522.24
2025-07-29 13:00:00,7521.070000000001
2025-08-22 15:00:00,7519.25
2025-08-27 12:00:00,7517.16
2025-08-01 20:00:00,7516.86
2025-08-03 18:00:00,7516.42
2025-08-08 10:00:00,7515.96
2025-07-01 14:00:00,7515.79
2025-08-27 11:00:00,7515.18
2025-07-10 13:00:00,7514.62
2025-08-20 16:00:00,7514.58
2025-07-02 19:00:00,7511.34
2025-07-07 11:00:00,7508.81
2025-07-29 14:00:00,7507.13
2025-08-19 17:00:00,7504.2
2025-07-04 11:00:00,7492.740000000001
2025-08-01 10:00:00,7490.33
2025-08-23 22:00:00,7490.33
2025-08-15 15:00:00,7488.82
2025-08-15 18:00:00,7483.92
2025-07-15 22:00:00,7483.07
2025-07-21 17:00:00,7480.4
2025-08-26 09:00:00,7480.18
2025-08-18 21:00:00,7479.450000000001
2025-08-19 15:00:00,7479.28
2025-08-01 11:00:00,7478.49
2025-07-07 21:00:00,7477.47
2025-08-04 20:00:00,7474.49
2025-07-06 16:00:00,7474.47
2025-08-01 16:00:00,7474.07
2025-08-03 22:00:00,7473.21
2025-08-13 21:00:00,7473.14
2025-07-11 17:00:00,7471.53
2025-08-15 14:00:00,7470.11
2025-07-06 18:00:00,7469.58
2025-07-10 11:00:00,7469.54
2025-07-20 13:00:00,7469.2699999999995
2025-08-02 20:00:00,7469.26
2025-08-15 13:00:00,7468.2
2025-08-08 16:00:00,7467.44
2025-08-08 13:00:00,7464.84
2025-08-02 21:00:00,7461.07
2025-07-06 21:00:00,7456.58
2025-07-18 21:00:00,7456.15
2025-08-03 12:00:00,7454.72
2025-08-05 20:00:00,7454.030000000001
2025-07-16 08:00:00,7453.11
2025-07-20 17:00:00,7452.18
2025-08-20 19:00:00,7452.06
2025-07-29 12:00:00,7451.5
2025-08-20 20:00:00,7451.32
2025-07-07 22:00:00,7450.74
2025-08-13 12:00:00,7450.28
2025-07-27 15:00:00,7449.01
2025-08-13 11:00:00,7448.99
2025-07-17 01:00:00,7446.55
2025-08-04 21:00:00,7446.25
2025-07-29 11:00:00,7443.72
2025-07-20 19:00:00,7440.66
2025-08-13 16:00:00,7440.46
2025-08-01 19:00:00,7437.9
2025-07-04 13:00:00,7435.68
2025-08-14 20:00:00,7435.52
2025-07-14 17:00:00,7435.02
2025-07-01 17:00:00,7434.87
2025-07-29 10:00:00,7433.99
2025-08-03 19:00:00,7433.46
2025-07-29 19:00:00,7432.76
2025-07-04 12:00:00,7432.76
2025-07-26 09:00:00,7432.129999999999
2025-07-15 14:00:00,7432.0599999999995
2025-07-15 12:00:00,7431.86
2025-07-15 10:00:00,7430.5199999999995
2025-08-24 00:00:00,7428.6
2025-08-03 14:00:00,7428.45
2025-07-08 08:00:00,7426.32
2025-08-12 18:00:00,7425.7300000000005
2025-08-01 14:00:00,7423.53
2025-08-23 21:00:00,7423.280000000001
2025-07-08 19:00:00,7423.009999999999
2025-07-22 15:00:00,7418.7
2025-08-07 10:00:00,7416.63
2025-08-19 16:00:00,7413.33
2025-07-08 07:00:00,7412.67
2025-07-25 18:00:00,7411.7
2025-07-28 19:00:00,7411.12
2025-07-07 20:00:00,7409.76
2025-08-26 22:00:00,7407.3
2025-08-03 17:00:00,7407.14
2025-08-17 17:00:00,7405.05
2025-07-29 17:00:00,7404.46
2025-07-15 13:00:00,7403.11
2025-07-09 20:00:00,7402.8099999999995
2025-08-18 18:00:00,7402.17
2025-08-03 11:00:00,7400.21
2025-07-07 12:00:00,7397.01
2025-07-04 14:00:00,7395.51
2025-08-02 00:00:00,7394.57
2025-07-27 16:00:00,7392.59
2025-08-10 15:00:00,7390.45
2025-08-23 23:00:00,7389.16
2025-08-14 13:00:00,7388.75
2025-07-10 17:00:00,7384.5
2025-08-03 20:00:00,7383.72
2025-07-08 17:00:00,7381.57
2025-08-22 10:00:00,7377.97
2025-07-07 19:00:00,7376.99
2025-08-24 21:00:00,7376.8
2025-08-10 16:00:00,7376.39
2025-08-03 23:00:00,7376.1
2025-08-12 22:00:00,7373.73
2025-08-12 20:00:00,7373.37
2025-07-17 17:00:00,7372.29
2025-08-06 09:00:00,7371.77
2025-08-12 17:00:00,7369.5
2025-07-07 18:00:00,7368.7
2025-08-11 21:00:00,7367.51
2025-07-15 16:00:00,7365.33
2025-07-17 00:00:00,7363.389999999999
2025-07-08 00:00:00,7363.2699999999995
2025-08-18 15:00:00,7363.01
2025-07-08 06:00:00,7362.57
2025-08-04 22:00:00,7360.65
2025-07-08 20:00:00,7360.65
2025-07-22 17:00:00,7360.17
2025-07-21 16:00:00,7358.94
2025-07-17 07:00:00,7358.42
2025-08-13 10:00:00,7356.92
2025-08-02 12:00:00,7356.55
2025-07-02 21:00:00,7355.719999999999
2025-07-26 10:00:00,7354.75
2025-07-26 08:00:00,7353.22
2025-08-07 15:00:00,7352.87
2025-07-16 23:00:00,7351.110000000001
2025-07-06 17:00:00,7350.66
2025-07-27 11:00:00,7347.96
2025-08-26 19:00:00,7347.92
2025-08-19 09:00:00,7346.49
2025-08-15 20:00:00,7343.53
