time_sec,pump_pressure
468000.0,781375.5111210899
471600.0,937536.425055672
475200.0,993319.7610677764
478800.0,980289.738321494
482400.0,956381.1616847739
486000.0,851967.0617770215
489600.0,866528.8622595868
493200.0,716651.8966815158
496800.0,448892.1508669565
500400.0,300000.0
504000.0,300000.0
507600.0,300000.0
511200.0,300000.0
514800.0,300000.0
518400.0,300000.0
522000.0,300000.0
525600.0,300000.0
529200.0,300000.0
532800.0,300000.0
536400.0,300000.0
540000.0,300000.0
543600.0,300000.0
547200.0,359138.3075293276
550800.0,764595.5890805861
554400.0,813011.799544614
558000.0,841210.5935990242
561600.0,912577.496511058
565200.0,829202.3557446994
568800.0,882060.0785434748
572400.0,920900.8250116013
576000.0,888422.7896254531
579600.0,818195.2411325423
583200.0,516574.0574841191
586800.0,300000.0
590400.0,300000.0
594000.0,300000.0
597600.0,300000.0
601200.0,300000.0
604800.0,300000.0
608400.0,300000.0
612000.0,300000.0
615600.0,300000.0
619200.0,300000.0
622800.0,300000.0
626400.0,300000.0
630000.0,300000.0
633600.0,300000.0
637200.0,755874.4178487514
640800.0,757487.2482798642
644400.0,818513.0397064122
648000.0,822409.6051926039
651600.0,869708.0952399785
655200.0,766237.623435877
658800.0,855002.1869133693
662400.0,840463.4205868236
666000.0,753552.9851090175
669600.0,433232.98443352524
673200.0,313150.9759151463
676800.0,300000.0
680400.0,300000.0
684000.0,300000.0
687600.0,300000.0
691200.0,300000.0
694800.0,300000.0
698400.0,300000.0
702000.0,300000.0
705600.0,300000.0
709200.0,300000.0
712800.0,300000.0
716400.0,300000.0
720000.0,300000.0
723600.0,300000.0
727200.0,345590.00702770834
730800.0,373360.3956258475
734400.0,347498.1621831677
738000.0,375033.80995408236
741600.0,372002.1376892305
745200.0,379861.9599720838
748800.0,391512.6173147715
752400.0,338561.41060227633
756000.0,339754.8463570558
759600.0,300000.0
763200.0,300000.0
766800.0,300000.0
770400.0,300000.0
774000.0,300000.0
777600.0,300000.0
781200.0,300000.0
784800.0,300000.0
788400.0,300000.0
792000.0,300000.0
795600.0,300000.0
799200.0,300000.0
802800.0,300000.0
806400.0,300000.0
810000.0,300000.0
813600.0,315078.86345173535
817200.0,352325.803929978
820800.0,349629.83862355474
824400.0,370148.4693707766
828000.0,371846.4140781841
831600.0,379404.0019186564
835200.0,366140.03410103376
838800.0,362488.2327999239
842400.0,300000.0
846000.0,300000.0
849600.0,300000.0
853200.0,300000.0
856800.0,300000.0
860400.0,300000.0
864000.0,300000.0
867600.0,300000.0
871200.0,300000.0
874800.0,300000.0
878400.0,300000.0
882000.0,300000.0
885600.0,300000.0
889200.0,300000.0
892800.0,340146.4849976658
896400.0,842937.3695003864
900000.0,974160.9126600807
903600.0,1047082.1705057356
907200.0,976849.9556779165
910800.0,968020.9022689126
914400.0,1053243.932274572
918000.0,1136723.462828287
921600.0,894948.3742988039
925200.0,992191.893788525
928800.0,483575.71053044515
932400.0,329593.5315572507
936000.0,300000.0
939600.0,300000.0
943200.0,300000.0
946800.0,300000.0
950400.0,300000.0
954000.0,300000.0
957600.0,300000.0
961200.0,300000.0
964800.0,300000.0
968400.0,300000.0
972000.0,300000.0
975600.0,300000.0
979200.0,321795.09512109036
982800.0,942358.305567709
986400.0,1048655.4750253186
990000.0,1137810.955502153
993600.0,1131648.4512857292
997200.0,1119542.282860284
1000800.0,1075616.0961755565
1004400.0,1019838.2565503152
1008000.0,918738.8926671881
1011600.0,741965.752421955
1015200.0,391472.92978808115
1018800.0,301316.73200026987
1022400.0,329432.95119542396
1026000.0,300000.0
1029600.0,300000.0
1033200.0,300000.0
1036800.0,300000.0
1040400.0,300000.0
1044000.0,300000.0
1047600.0,300000.0
1051200.0,300000.0
1054800.0,300000.0
1058400.0,300000.0
1062000.0,300000.0
1065600.0,380971.4217529517
1069200.0,741552.5327214769
1072800.0,798661.6603638012
1076400.0,819272.4749674208
1080000.0,866098.9463352109
1083600.0,842434.2278309885
1087200.0,953677.5761056555
1090800.0,956522.7244821761
1094400.0,1050498.3241037244
1098000.0,878272.9373395616
1101600.0,539616.346126245
1105200.0,346713.39233906125
1108800.0,300000.0
1112400.0,300000.0
1116000.0,300000.0
1119600.0,300000.0
1123200.0,300000.0
1126800.0,300000.0
1130400.0,300000.0
1134000.0,300000.0
1137600.0,300000.0
1141200.0,300000.0
1144800.0,300000.0
1148400.0,300000.0
1152000.0,358764.13105468365
1155600.0,870167.7315260528
1159200.0,983796.8661043338
1162800.0,992940.4928188376
1166400.0,968941.2267025369
1170000.0,939430.2736289342
1173600.0,969857.1833084088
1177200.0,1030462.8980308988
1180800.0,978117.0486018236
1184400.0,935455.7133022276
1188000.0,615737.6840000498
1191600.0,483460.35615771543
1195200.0,300000.0
1198800.0,300000.0
1202400.0,300000.0
1206000.0,300000.0
1209600.0,300000.0
1213200.0,300000.0
1216800.0,300000.0
1220400.0,300000.0
1224000.0,300000.0
1227600.0,300000.0
1231200.0,300000.0
1234800.0,300000.0
1238400.0,320817.8735664429
1242000.0,817248.0968212243
1245600.0,865750.853166278
1249200.0,824794.8202803419
1252800.0,835846.0895324228
1256400.0,848472.8526633964
1260000.0,852970.1593849417
1263600.0,839125.0071313871
1267200.0,749817.6702743947
1270800.0,975360.4040375828
1274400.0,596832.3872791161
1278000.0,420418.8868254943
1281600.0,300000.0
1285200.0,300000.0
1288800.0,300000.0
1292400.0,300000.0
1296000.0,300000.0
1299600.0,300000.0
1303200.0,300000.0
1306800.0,300000.0
1310400.0,300000.0
1314000.0,300000.0
1317600.0,300000.0
1321200.0,300000.0
1324800.0,300000.0
1328400.0,309585.2752836218
1332000.0,379864.9671738615
1335600.0,385667.8163664098
1339200.0,353398.194166569
1342800.0,366778.0260988321
1346400.0,401011.34254211735
1350000.0,398926.4002973039
1353600.0,407050.73759252613
1357200.0,403990.2496807602
1360800.0,339216.59317027807
1364400.0,342175.60643695353
1368000.0,300000.0
1371600.0,300000.0
1375200.0,300000.0
1378800.0,300000.0
1382400.0,300000.0
1386000.0,300000.0
1389600.0,300000.0
1393200.0,300000.0
1396800.0,300000.0
1400400.0,300000.0
1404000.0,300000.0
1407600.0,300000.0
1411200.0,300000.0
1414800.0,300000.0
1418400.0,300000.0
1422000.0,322682.3322243781
1425600.0,300000.0
1429200.0,324925.7008027076
1432800.0,300000.0
1436400.0,345565.1485986965
1440000.0,372641.2431805204
1443600.0,416990.1705273352
1447200.0,309252.34851702704
1450800.0,300000.0
1454400.0,300000.0
1458000.0,300000.0
1461600.0,300000.0
1465200.0,300000.0
1468800.0,300000.0
1472400.0,300000.0
1476000.0,300000.0
1479600.0,300000.0
1483200.0,300000.0
1486800.0,300000.0
1490400.0,300000.0
1494000.0,300000.0
1497600.0,409690.6406791565
1501200.0,779669.9354888507
1504800.0,937857.7089811936
1508400.0,972981.4105489675
1512000.0,972981.4105489675
1515600.0,972981.4105489675
1519200.0,940619.2371289132
1522800.0,998536.3550594343
1526400.0,851345.6777486991
1530000.0,884940.2054132947
1533600.0,713693.3857581847
1537200.0,393331.2379526178
1540800.0,388662.2850773309
1544400.0,310264.34900471667
1548000.0,300000.0
1551600.0,300000.0
1555200.0,300000.0
1558800.0,300000.0
1562400.0,300000.0
1566000.0,300000.0
1569600.0,300000.0
1573200.0,300000.0
1576800.0,300000.0
1580400.0,300000.0
1584000.0,381172.22048331314
1587600.0,869230.384270895
1591200.0,1006085.0416284055
1594800.0,936147.9779767073
1598400.0,1075008.9442167163
1602000.0,871072.1889082132
1605600.0,801702.3215428776
1609200.0,1138135.3960834024
1612800.0,1053883.3088259757
1616400.0,812873.9563208879
1620000.0,628103.1840477863
1623600.0,488703.58188274154
1627200.0,362535.23625953443
1630800.0,300000.0
1634400.0,300000.0
1638000.0,300000.0
1641600.0,300000.0
1645200.0,300000.0
1648800.0,300000.0
1652400.0,300000.0
1656000.0,300000.0
1659600.0,300000.0
1663200.0,300000.0
1666800.0,300000.0
1670400.0,400648.8906445847
1674000.0,896841.8563295786
1677600.0,982522.8741270939
1681200.0,1031133.3078800394
1684800.0,1047772.9471445524
1688400.0,1008964.7858783392
1692000.0,1040531.9826307654
1695600.0,1013071.1123483551
1699200.0,1043380.8321500154
1702800.0,876715.8944105064
1706400.0,565382.4811144138
1710000.0,333280.77813321457
1713600.0,335594.5450092667
1717200.0,300000.0
1720800.0,300000.0
1724400.0,300000.0
1728000.0,300000.0
1731600.0,300000.0
1735200.0,300000.0
1738800.0,300000.0
1742400.0,300000.0
1746000.0,300000.0
1749600.0,300000.0
1753200.0,300000.0
1756800.0,372482.4079968591
1760400.0,802708.9018433827
1764000.0,904960.2136892534
1767600.0,993232.2311979277
1771200.0,986397.4000446604
1774800.0,1032645.0062412414
1778400.0,1011426.5996697468
1782000.0,987399.1409824707
1785600.0,948003.1595830217
1789200.0,889884.3232177856
1792800.0,518306.71457516577
1796400.0,469907.2435327959
1800000.0,317433.12509110087
1803600.0,300000.0
1807200.0,300000.0
1810800.0,300000.0
1814400.0,300000.0
1818000.0,300000.0
1821600.0,300000.0
1825200.0,300000.0
1828800.0,300000.0
1832400.0,300000.0
1836000.0,300000.0
1839600.0,300000.0
1843200.0,307095.3942114756
1846800.0,822001.1001061834
1850400.0,889345.8851733177
1854000.0,798477.0791076691
1857600.0,863233.0478137669
1861200.0,913259.6908195385
1864800.0,896897.3054550182
1868400.0,862485.2181437555
1872000.0,872034.8287271352
1875600.0,717505.7881560202
1879200.0,414168.75103340286
1882800.0,311691.0093792383
1886400.0,303289.3989052962
1890000.0,300000.0
1893600.0,300000.0
1897200.0,300000.0
1900800.0,300000.0
1904400.0,300000.0
1908000.0,300000.0
1911600.0,300000.0
1915200.0,300000.0
1918800.0,300000.0
1922400.0,300000.0
1926000.0,300000.0
1929600.0,300000.0
1933200.0,300000.0
1936800.0,355768.0391698605
1940400.0,398437.5816168272
1944000.0,376636.102338281
1947600.0,407117.150044233
1951200.0,400609.7721151263
1954800.0,396160.73126498424
1958400.0,353836.3135396938
1962000.0,341481.45454611897
1965600.0,300000.0
1969200.0,300000.0
1972800.0,300000.0
1976400.0,300000.0
1980000.0,300000.0
1983600.0,300000.0
1987200.0,300000.0
1990800.0,300000.0
1994400.0,300000.0
1998000.0,300000.0
2001600.0,300000.0
2005200.0,300000.0
2008800.0,300000.0
2012400.0,300000.0
2016000.0,300000.0
2019600.0,300000.0
2023200.0,342686.68590966926
2026800.0,325583.336534405
2030400.0,300000.0
2034000.0,325855.3039808623
2037600.0,308549.08750973287
2041200.0,310020.70233247656
2044800.0,324729.18849007896
2048400.0,300103.7890802115
2052000.0,300000.0
2055600.0,300000.0
2059200.0,300000.0
2062800.0,300000.0
2066400.0,300000.0
2070000.0,300000.0
2073600.0,300000.0
2077200.0,300000.0
2080800.0,300000.0
2084400.0,300000.0
2088000.0,300000.0
2091600.0,300000.0
2095200.0,300000.0
2098800.0,300000.0
2102400.0,521944.0443539265
2106000.0,939830.715810269
2109600.0,999954.0410424265
2113200.0,1079091.9617984288
2116800.0,1101482.9090272638
2120400.0,1034629.239835275
2124000.0,1084903.1781624344
2127600.0,868423.8815051963
2131200.0,931761.1564593178
2134800.0,686682.9562670607
2138400.0,469569.4913290527
2142000.0,336815.78025874187
2145600.0,300000.0
2149200.0,300000.0
2152800.0,300000.0
2156400.0,300000.0
2160000.0,300000.0
2163600.0,300000.0
2167200.0,300000.0
2170800.0,300000.0
2174400.0,300000.0
2178000.0,300000.0
2181600.0,300000.0
2185200.0,300000.0
2188800.0,412971.1630845595
2192400.0,907057.863757367
2196000.0,970332.9468370191
2199600.0,1006515.7618883036
2203200.0,1090908.3583219512
2206800.0,1169071.4288735916
2210400.0,1146353.7316104162
2214000.0,1200000.0
2217600.0,1126702.1836693434
2221200.0,791235.7330287605
2224800.0,568450.0501445545
2228400.0,426296.2764687286
2232000.0,300000.0
2235600.0,300000.0
2239200.0,300000.0
2242800.0,300000.0
2246400.0,300000.0
2250000.0,300000.0
2253600.0,300000.0
2257200.0,300000.0
2260800.0,300000.0
2264400.0,300000.0
2268000.0,300000.0
2271600.0,300000.0
2275200.0,432118.23723537097
2278800.0,885947.2157015724
2282400.0,933963.495958708
2286000.0,916486.0782278558
2289600.0,939319.93054563
2293200.0,888753.9448520258
2296800.0,819538.949445248
2300400.0,867070.9505198087
2304000.0,878757.700198451
2307600.0,721809.1251515616
2311200.0,431141.6086055859
2314800.0,385145.8076386573
2318400.0,300000.0
2322000.0,300000.0
2325600.0,300000.0
2329200.0,300000.0
2332800.0,300000.0
2336400.0,300000.0
2340000.0,300000.0
2343600.0,300000.0
2347200.0,300000.0
2350800.0,300000.0
2354400.0,300000.0
2358000.0,300000.0
2361600.0,300000.0
