day,hour_in_day,hour,sim_cooling_load_kw,Q_chiller1_kw,Q_chiller2_kw,Q_ice_discharge_kw,Q_ice_charge_kw,Tank_SOC_start_kWh,Tank_SOC_end_kWh,P_chiller_kw,P_ice_make_kw,P_pump_kw,P_total_kw,P_total_kva,P_target_kva,P_excess_kva,tou_price,hourly_energy_cost,solver_status
3,14,62,7627.976599808259,7032.0,595.9766,0.0,1996.7479,28672.402,30669.15,1366.5093582308793,470.93110849056603,202.5595319961652,2039.9999987176104,2399.9999984913065,2400.0,0.0,0.5796,1182.383999256727,Optimal
3,15,63,7393.195546171294,992.25555,0.0,6400.94,0.0,30669.15,24268.21,177.22013752455794,0.0,197.8639109234259,375.08404844798383,441.2753511152751,2400.0,0.0,1.1477,430.48396240375104,Optimal
3,16,64,7302.706369909525,901.76637,0.0,6400.94,0.0,24268.21,17867.27,161.0584693695303,0.0,196.0541273981905,357.1125967677208,420.1324667855539,2400.0,0.0,1.1477,409.85812731031314,Optimal
3,17,65,6639.254887036303,238.31489,0.0,6400.94,0.0,17867.27,11466.33,42.563831041257366,0.0,182.78509774072606,225.34892878198343,265.11638680233347,2400.0,0.0,0.9564,215.52371548708896,Optimal
3,18,66,5867.004060713314,0.0,0.0,5867.0041,0.0,11466.33,5599.3263,0.0,0.0,167.3400812142663,167.3400812142663,196.87068378148976,2400.0,0.0,0.9564,160.0440536733243,Optimal
3,19,67,5493.750804438631,0.0,0.0,5493.7508,0.0,5599.3263,105.57548,0.0,0.0,159.8750160887726,159.8750160887726,188.08825422208542,2400.0,0.0,0.9564,152.90446538730214,Optimal
3,20,68,5106.228680109465,5000.6532,0.0,105.57548,0.0,105.57548,0.0,893.1332737988926,0.0,152.1245736021893,1045.2578474010818,1229.715114589508,2400.0,0.0,0.9564,999.6846052543947,Optimal
3,21,69,4779.913050310044,4779.9131,0.0,0.0,0.0,0.0,0.0,853.7083586354705,0.0,145.5982610062009,999.3066196416714,1175.6548466372606,2400.0,0.0,0.9564,955.7368510252946,Optimal
3,22,70,4583.601353465378,4583.6014,0.0,0.0,0.0,0.0,0.0,818.6464368637255,0.0,141.67202706930757,960.3184639330331,1129.7864281565096,2400.0,0.0,0.9564,918.4485789055528,Optimal
3,23,71,4414.037846254047,4414.0378,0.0,0.0,0.0,0.0,0.0,788.3618146097517,0.0,138.28075692508094,926.6425715348327,1090.1677312174502,2400.0,0.0,0.5796,537.082034461589,Optimal
4,0,72,4203.086740369273,4203.0867,0.0,0.0,4898.2728,0.0,4898.2728,750.685247365601,1155.2530188679243,134.06173480738545,2040.0000010409105,2400.0000012246005,2400.0,0.0,0.2203,449.4120002293126,Optimal
4,1,73,4027.403606623034,4027.4036,0.0,0.0,5016.0,4898.2728,9914.2728,719.3076620825148,1183.0188679245282,130.54807213246067,2032.8746021395036,2391.617178987651,2400.0,0.0,0.2203,447.84227485133266,Optimal
4,2,74,3923.41237550437,3923.4124,0.0,0.0,5016.0,9914.2728,14930.273,700.7344883014824,1183.0188679245282,128.4682475100874,2012.221603736098,2367.319533807174,2400.0,0.0,0.2203,443.2924193030624,Optimal
4,3,75,3842.0657236629186,3842.0657,0.0,0.0,5016.0,14930.273,19946.273,686.2056974459725,1183.0188679245282,126.84131447325838,1996.0658798437591,2348.312799816187,2400.0,0.0,0.2203,439.73331332958014,Optimal
4,4,76,3778.1856392458076,3778.1856,0.0,0.0,5016.0,19946.273,24962.273,674.7964993748883,1183.0188679245282,125.56371278491615,1983.3790800843326,2333.3871530403912,2400.0,0.0,0.2203,436.9384113425785,Optimal
4,5,77,3889.639519320507,3889.6395,0.0,0.0,5016.0,24962.273,29978.273,694.7025361671728,1183.0188679245282,127.79279038641015,2005.5141944781112,2359.4284640918954,2400.0,0.0,0.2203,441.8147770435279,Optimal
4,6,78,4101.485895582121,4101.4859,0.0,0.0,4983.8286,29978.273,34962.101,732.5390069655294,1175.4312735849055,132.02971791164242,2039.9999984620772,2399.999998190679,2400.0,0.0,0.2203,449.4119996611956,Optimal
4,7,79,4869.3430534713325,4869.3431,0.0,0.0,4337.2329,34962.101,39299.334,869.6808537238793,1022.932287735849,147.38686106942666,2040.000002529155,2400.0000029754765,2400.0,0.0,0.2203,449.4120005571728,Optimal
4,8,80,8530.084934851218,7032.0,1498.0849,0.0,0.0,39299.334,39299.334,1533.8763897707681,0.0,220.60169869702437,1754.4780884677925,2064.0918687856383,2400.0,0.0,0.9564,1677.982843810597,Optimal
4,9,81,11679.979932482995,6345.564,0.0,5334.416,0.0,39299.334,33964.918,1133.3388105018753,0.0,283.5995986496599,1416.9384091515353,1666.9863637076887,2400.0,0.0,1.1477,1626.220212183217,Optimal
4,10,82,12816.005654651199,7032.0,0.0,5784.0057,0.0,33964.918,28180.913,1255.9385604572244,0.0,306.32011309302396,1562.2586735502484,1837.9513806473512,2400.0,0.0,1.1477,1793.00427963362,Optimal
4,11,83,13248.59984130724,7032.0,2528.3921,3688.2077,0.0,28180.913,24492.705,1725.0280038709536,0.0,314.9719968261448,2040.0000006970984,2400.000000820116,2400.0,0.0,0.2203,449.4120001535708,Optimal
4,12,84,13186.426762845493,7032.0,2535.0944,3619.3324,0.0,24492.705,20873.373,1726.2714732587087,0.0,313.7285352569099,2040.0000085156187,2400.000010018375,2400.0,0.0,0.2203,449.41200187599077,Optimal
4,13,85,13352.837994094702,7032.0,2517.1552,3803.6828,0.0,20873.373,17069.69,1722.9432357818998,0.0,317.05675988189404,2039.999995663794,2399.999994898581,2400.0,0.0,0.5796,1182.3839974867349,Optimal
4,14,86,13256.421296200604,7032.0,2527.5489,3696.8724,0.0,17069.69,13372.817,1724.871566023087,0.0,315.1284259240121,2039.9999919470993,2399.9999905259992,2400.0,0.0,0.5796,1182.3839953325387,Optimal
4,15,87,13068.403937103847,7032.0,0.0,6036.4039,0.0,13372.817,7336.4135,1255.9385604572244,0.0,311.36807874207693,1567.3066391993013,1843.890163763884,2400.0,0.0,1.1477,1798.7978298090381,Optimal
4,16,88,12800.06465956548,7032.0,0.0,5768.0647,0.0,7336.4135,1568.3488,1255.9385604572244,0.0,306.0012931913096,1561.9398536485342,1837.5762984100402,2400.0,0.0,1.1477,1792.6383700324225,Optimal
4,17,89,11335.024340820186,7032.0,2734.6755,1568.3488,0.0,1568.3488,0.0,1763.299506653885,0.0,276.7004868164037,2039.9999934702887,2399.9999923179867,2400.0,0.0,0.9564,1951.0559937549842,Optimal
4,18,90,8348.510699772349,7032.0,1316.5107,0.0,0.0,0.0,0.0,1500.1891541492466,0.0,216.97021399544698,1717.1593681446936,2020.1874919349339,2400.0,0.0,0.9564,1642.2912196935852,Optimal
4,19,91,6560.657901214422,6560.6579,0.0,0.0,0.0,0.0,0.0,1171.755295588498,0.0,181.21315802428845,1352.9684536127866,1591.7275924856312,2400.0,0.0,0.9564,1293.9790290352691,Optimal
4,20,92,6519.990129609003,6519.9901,0.0,0.0,0.0,0.0,0.0,1164.4918914091802,0.0,180.39980259218007,1344.8916940013603,1582.2255223545415,2400.0,0.0,0.9564,1286.254416142901,Optimal
4,21,93,6269.864755846651,6269.8648,0.0,0.0,0.0,0.0,0.0,1119.8186819074836,0.0,175.39729511693304,1295.2159770244166,1523.7835023816667,2400.0,0.0,0.9564,1238.744560426152,Optimal
4,22,94,5981.979996213104,5981.98,0.0,0.0,0.0,0.0,0.0,1068.4015002679048,0.0,169.6395999242621,1238.0411001921668,1456.5189414025492,2400.0,0.0,0.9564,1184.0625082237884,Optimal
4,23,95,5808.5217322202725,5808.5217,0.0,0.0,0.0,0.0,0.0,1037.4212716556528,0.0,166.17043464440545,1203.5917063000584,1415.990242705951,2400.0,0.0,0.5796,697.6017529715139,Optimal
5,0,96,5594.7622068717765,5594.7622,0.0,0.0,3726.3734,0.0,3726.3734,999.2431148419361,878.8616509433962,161.89524413743553,2040.000009922768,2400.0000116738447,2400.0,0.0,0.2203,449.4120021859858,Optimal
5,1,97,5400.866977408157,5400.867,0.0,0.0,3889.6483,3726.3734,7616.0216,964.6127879978568,917.3698820754717,158.01733954816314,2040.0000096214915,2400.000011319402,2400.0,0.0,0.2203,449.41200211961456,Optimal
