time_sec,total_load,user1_load,user3_load,user4_load,user6_load
1051200,5064.32,3944.84,0.0,722.54,396.94
1054800,5160.37,4068.08,0.0,711.97,380.32
1058400,5067.94,3993.28,0.0,703.67,370.99
1062000,5340.9,3968.7,0.0,874.37,497.83
1065600,7590.12,5315.11,0.0,1504.73,770.28
1069200,10589.45,6947.57,67.38,1890.89,1683.61
1072800,10989.65,7015.54,244.63,1860.14,1869.34
1076400,11130.55,6868.95,230.95,1981.85,2048.8
1080000,11444.22,7004.47,214.88,1908.47,2316.4
1083600,11286.79,6888.58,237.63,1856.72,2303.86
1087200,12008.9,7524.34,245.48,1849.5,2389.58
1090800,12026.8,7881.87,224.57,1797.71,2122.65
1094400,12603.76,8218.49,237.6,1739.15,2408.52
1098000,11524.37,7274.08,233.53,1630.91,2385.85
1101600,9033.27,5771.7,172.22,1288.51,1800.84
1105200,7240.82,4980.33,0.0,940.83,1319.66
1108800,6418.030000000001,4274.85,0.0,805.28,1337.9
1112400,6153.25,4075.33,0.0,793.63,1284.29
1116000,5693.15,3852.62,0.0,723.47,1117.06
1119600,5390.01,3753.55,0.0,682.38,954.08
1123200,5058.67,3707.34,0.0,542.87,808.46
1126800,4762.200000000001,3608.71,0.0,606.47,547.02
1130400,4753.530000000001,3678.46,0.0,597.51,477.56
1134000,4707.07,3686.62,0.0,567.54,452.91
1137600,4710.8099999999995,3702.23,0.0,597.14,411.44
1141200,4745.7300000000005,3814.84,0.0,531.1,399.79
1144800,4695.09,3676.55,0.0,611.2,407.34
1148400,5128.4800000000005,3676.9,0.0,669.91,781.67
1152000,7365.580000000001,5335.77,0.0,1223.68,806.13
1155600,11471.070000000002,8148.04,278.0,1478.79,1566.24
1159200,12197.06,8410.93,249.26,1662.81,1874.06
1162800,12253.61,8102.01,306.37,1608.32,2236.91
1166400,12104.619999999999,8194.31,227.81,1401.18,2281.32
1170000,11918.86,7833.93,267.76,1597.69,2219.48
1173600,12110.34,8020.51,248.69,1695.14,2146.0
1177200,12482.99,8422.75,241.71,1621.45,2197.08
1180800,12161.800000000001,8207.35,222.19,1466.1,2266.16
1184400,11893.619999999999,7807.63,228.11,1596.39,2261.49
1188000,9649.4,6326.75,210.32,1119.68,1992.65
1191600,8550.33,5694.61,175.38,998.96,1681.38
1195200,6134.320000000001,4448.1,0.0,752.72,933.5
1198800,5888.36,4256.93,0.0,637.15,994.28
1202400,5866.360000000001,4118.91,0.0,684.89,1062.56
1206000,5320.95,3793.63,0.0,624.83,902.49
1209600,5123.99,3747.49,0.0,580.38,796.12
