hour,day,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
384,16.0,24.794357996118634,7.11356084938076,8.994880153017508,1.8813193036367482,195.26059268091691,190.22,0.0,52.95554930213761,7.097373395027501,8.45117897039955,1.353805575372049,300.1006938964282,284.98,0.0,69.13117388254462,7.095626728078603,9.130097842416395,2.0344711143377925,588.7415454609608,645.9,57.15845453903921,1084.102832038306,1121.1,36.997167961694004
385,16.041666666666668,24.794591740209246,7.1093958963724395,9.063943649657526,1.9545477532850866,202.8628260435649,196.19,0.0,52.95602425102943,7.112716424395552,8.476262793843143,1.3635463694475902,302.2626654285427,305.36,3.0973345714573384,69.13086857585952,7.1102849714432805,8.680548263738375,1.5702632922950945,454.4056429003763,519.92,65.51435709962368,959.5311343724838,1021.47,61.93886562751618
386,16.083333333333332,24.794623194516987,7.109911938375117,9.033358699261852,1.9234467608867352,199.6351022903908,205.53,5.894897709609211,52.95598616842297,7.11965611612494,8.398305175856724,1.2786490597317837,283.4429423630782,289.16,5.7170576369218224,69.13017503495198,7.119612477201448,8.305496255444787,1.1858837782433387,343.16975833224814,375.95,32.78024166775185,826.247802985717,870.6400000000001,44.392197014283056
387,16.125,24.794222629740236,7.11138982034886,9.381526620512231,2.270136800163371,235.61435645638528,189.48,0.0,52.95491323889859,7.097188336437066,8.352745200179761,1.2555568637426955,278.3183694341879,267.51,0.0,69.12838663581006,7.10375640921447,8.081113131903354,0.9773567226888842,282.81910900231054,296.66,13.840890997689485,796.7518348928838,753.6500000000001,0.0
388,16.166666666666668,24.794192361044892,7.104699409901095,9.604381992119096,2.499682582218001,259.43827874628846,278.76,19.32172125371153,52.95480449574281,7.0557763840362755,8.509166495057338,1.4533901110210623,322.1712587291061,278.97,0.0,69.12721902974565,7.05872691256324,7.655352604537082,0.5966256919738422,172.64351148053737,254.8,82.15648851946264,754.253048955932,812.53,58.27695104406803
389,16.208333333333332,24.79436260356787,7.092543027564548,9.253636935928913,2.161093908364365,224.29821189047965,236.15,11.851788109520356,52.95555230865009,7.068790593605203,8.759131785674542,1.6903411920693392,374.7012146277688,355.95,0.0,69.12708970380427,7.066700812059581,7.247685523979882,0.18098471192030097,52.3708216970906,74.83,22.4591783029094,651.3702482153391,666.9300000000001,15.559751784660989
390,16.25,24.793862141261116,7.083924923339679,8.974642885374358,1.890717962034679,196.23214728753308,208.29,12.05785271246691,52.95518250524767,7.0555502606078715,9.303655622339042,2.24810536173117,498.33840121419877,384.3,0.0,69.12570296292054,7.060585807076698,7.144523637354403,0.08393783027770585,24.288266735816876,13.62,0.0,718.8588152375487,606.21,0.0
391,16.291666666666668,24.793873452884583,7.072845374463875,8.867395236988376,1.7945498625245007,186.25122343381182,179.76,0.0,52.95574274753899,7.0351917521102685,9.714004511119688,2.6788127590094195,593.8197619360085,605.17,11.350238063991469,69.12586616537783,7.034821542675335,7.124530933946024,0.08970939127068878,25.958388022725043,18.61,0.0,806.0293733925453,803.54,0.0
392,16.333333333333332,24.791155184699047,7.0585096362359305,9.345013370441837,2.2865037342059065,237.28369843671715,188.57,0.0,52.95037103188161,6.9323326602192905,10.473404255537632,3.541071595318342,784.8794154872493,575.04,0.0,69.12030182581722,6.9669678913692,8.262859988386285,1.2958920970170853,374.95028775363784,16.98,0.0,1397.1134016776043,780.5899999999999,0.0
393,16.375,24.790470511825255,7.007261931106895,9.574025312742732,2.5667633816358366,266.36050427083364,283.05,16.689495729166367,52.94946976595184,6.7359316174566075,11.293564471675369,4.557632854218761,1010.1832812765506,989.88,0.0,69.12108522771912,6.747587308367273,9.584556461904139,2.8369691535368657,820.8511025170334,722.09,0.0,2097.3948880644175,1995.02,0.0
394,16.416666666666668,24.790818674410136,6.93484166165871,9.335822151459897,2.4009804898011877,249.16023043903382,245.76,0.0,52.950587563562685,6.778848903234063,11.58249936742005,4.803650464185988,1064.7346954168395,1024.81,0.0,69.12389343320426,6.774125520828066,10.588140240593821,3.8140147197657557,1103.5951439168093,911.1,0.0,2417.4900697726825,2181.67,0.0
395,16.458333333333332,24.791721545943034,6.882598837825622,9.154947545716041,2.272348707890419,235.82013685957318,248.86,13.039863140426831,52.95291712799793,6.823881448607911,11.988383201421323,5.164501752813412,1144.7681638948025,1099.16,0.0,69.12727017783975,6.809681955328344,11.1131479172726,4.303465961944257,1245.2799719007878,1289.56,44.28002809921213,2625.8682726551633,2637.58,11.711727344836618
