hour,day,user1_flow_kg_s,user1_T_sup_C,user1_T_ret_C,user1_delta_T_C,user1_Q_sup_kw,user1_demand_kw,user1_Q_unmet_kw,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
225,9.375,94.75991606075507,6.653822048606808,18.886607823290802,12.232785774683993,4852.318074887891,4705.48,0.0,23.042867250874178,6.5794690639027635,6.604517971455888,0.025048907553124167,2.4161535552880857,0.0,0.0,50.78453433418184,6.568720805779675,10.502537826361468,3.9338170205817935,836.2667963760794,771.14,0.0,66.29600610136148,6.578553344816533,10.395293035142831,3.8167396903262985,1059.202826378999,1109.12,49.917173621000984,6750.203851198258,6585.74,0.0
226,9.416666666666666,100.53604146934325,6.6363231592338074,18.500888688473633,11.864565529239826,4993.129668337374,5004.94,11.810331662625686,23.850041662541035,6.67733908638761,6.702756247073937,0.025417160686327378,2.5375546287337403,0.0,0.0,52.61524304767107,6.722122109166365,11.34229593197259,4.620173822806224,1017.5813061991037,896.7,0.0,68.68624468760305,6.690052288742351,10.615985885226385,3.9259335964840343,1128.7868627697167,1000.95,0.0,7142.035391934929,6902.589999999999,0.0
227,9.458333333333334,104.26697219051741,6.829343906597744,18.203764298759346,11.374420392161602,4964.497104547646,4914.99,0.0,24.366883582023398,6.88200108832226,6.908824150586421,0.026823062264160313,2.7359463070204106,0.0,0.0,53.789427830815704,6.904500638881679,11.641514540243374,4.737013901361696,1066.5981052563036,1134.09,67.49189474369632,70.21997731222662,6.883315940693122,11.157693979994225,4.274378039301102,1256.4142073579226,1250.11,0.0,7290.245363468893,7299.19,8.94463653110688
228,9.5,106.16163605009629,6.942778332595381,18.331439324574507,11.388660991979126,5061.036765612752,5028.15,0.0,24.623799589031858,6.957263701504534,6.985112108859709,0.02784840735517502,2.870480856245486,0.0,0.0,54.37308275141079,6.962464820684552,11.51497415411523,4.552509333430677,1036.1771846614392,990.62,0.0,70.98246607905459,6.954817308415945,11.3350752614186,4.380257953002656,1301.5174474174532,1252.44,0.0,7401.60187854789,7271.209999999999,0.0
229,9.541666666666666,108.49902766385442,7.002035365881953,18.167143935006457,11.165108569124504,5070.934730818626,5067.77,0.0,24.942103811572785,7.016948556920086,7.045464519074314,0.028515962154227914,2.977284497781333,0.0,0.0,55.097123625544064,7.025052710314559,11.7570756389779,4.7320229286633415,1091.3774877255948,1073.77,0.0,71.92794547835715,7.016443442700633,11.479805197179582,4.463361754478949,1343.8752857176858,1339.99,0.0,7509.164788759688,7481.530000000001,0.0
230,9.583333333333334,109.46411039810775,7.048601184519987,18.25771160938764,11.209110424867653,5136.202330037459,5062.76,0.0,25.072028719438794,7.053427035722127,7.082413415391721,0.028986379669594164,3.04216438009453,0.0,0.0,55.39262639836871,7.054118525097495,11.642206404375175,4.58808787927768,1063.8561513458758,1100.01,36.153848654124204,72.31395696586775,7.051510542204767,11.506243174507128,4.4547326323023615,1348.475293426256,1335.9,0.0,7551.575939189686,7498.67,0.0
231,9.625,108.873877819501,7.063119220968237,18.20890641522199,11.145787194253753,5079.648516370586,5207.85,128.20148362941472,24.991832848488347,7.0624799492088695,7.091313213088555,0.028833263879685767,3.016415322142341,0.0,0.0,55.21000426799041,7.063357778007141,11.775641951656313,4.712284173649172,1089.0516500137005,1017.8,0.0,72.07546242342538,7.061389556794404,11.580315657873317,4.518926101078914,1363.395639611212,1348.84,0.0,7535.11222131764,7574.490000000001,39.37777868236026
232,9.666666666666666,107.10443835107455,7.079228953552746,18.252830844458966,11.17360189090622,5009.563497544487,4923.72,0.0,24.75236164624949,7.081251874031559,7.109534801447981,0.0282829274164218,2.9304898713992054,0.0,0.0,54.66533061592835,7.080947381098696,11.740024101229963,4.659076720131267,1066.1322113682002,1151.3,85.1677886317998,71.36425118202,7.0800293198046536,11.59950052037914,4.519471200574486,1350.1050459728053,1365.89,15.784954027194772,7428.731244756891,7440.910000000001,12.178755243109663
233,9.708333333333334,100.00725542802486,7.082443982846885,18.199299355988803,11.116855373141917,4653.853291676485,5109.74,455.88670832351454,23.77334853080222,7.0828812725057455,7.108885314035508,0.026004041529762212,2.5877983544903174,0.0,0.0,52.44039578117655,7.091368821337638,11.135293562514216,4.0439247411765775,887.7041483385727,971.39,83.68585166142725,68.45937143813516,7.084151895084209,11.651640135564506,4.567488240480297,1308.9093475403704,1322.58,13.670652459629537,6853.054585909919,7403.71,550.6554140900807
234,9.75,93.12754535534357,7.156035994525234,17.12644134249163,9.970405347966398,3886.7821089988292,4158.13,271.34789100117086,22.81415917059333,7.205484683486824,7.228522481235206,0.023037797748382438,2.2001113042536398,0.0,0.0,50.264017161254344,7.25718326366571,10.599357931926011,3.3421746682603013,703.2108487533116,797.49,94.27915124668846,65.61752408910667,7.218686496005238,11.431281402434125,4.212594906428888,1157.094319882528,1284.79,127.69568011747197,5749.287388938923,6240.41,491.1226110610769
